Advertisements 	date.2,Street,R.,m²,Floor,Series,"Price, m2",Price
Plašs un mūsdienīgs dzīvoklis ar ekskluzīvu skatu no erkera (tor,Valdemara 39,4,149,7/7,Pre-war house,"1,543 €","229,900 €"
"Plašs un daudzfunkcionāls 141, 6 m² īpašums Rīgas centrā. Pā",Stabu 47,6,142,4/6,Recon.,"1,549 €","220,000 €"
Īpašnieks pārdot pilnīgi mēbelētu 2istabu dzīvokli jaunajā proje,Vezhu 1,2,67,1/7,New,"1,933 €","129,500 €"
Investīciju Objekts Rīgas Centrā 12% Ienesīgums Īpašuma pašre,Blaumana 8,5,518,2/5,Pre-war house,772 €,"400,000 €"
"Īpašnieks pārdod skaistu izremontētu dzīvoklī. Viss jauns, virtu",Gertrudes 106,2,53,4/6,Pre-war house,"2,264 €","120,000 €"
Plašs četristabu dzīvoklis vēsturiskajā Hertela namā Brīvības ie,Brivibas 138,4,102,6/6,Pre-war house,"1,451 €","148,045 €"
Attīstītājs “Merko mājas” piedāvā iegādāties “Demo” 4-istabu dzī,Rupniecibas 27,4,85,3/6,New,"4,435 €","377,000 €"
Piedāvājumā plašs 4 istabu dzīvoklis kapitāli renovētā ēkā pašā,Barona 14,4,117,4/6,Pre-war house,"1,923 €","225,000 €"
Tiek pārdots gaišs trīsistabu dzīvoklis labā lokācijas vietā.,Lugazhu 2a,3,52,1/5,Chrusch.,"1,038 €","54,000 €"
"Elegants četru istabu dzīvoklis atjaunotā mūra ēkā Rīgas centrā,",Chaka 54,4,108,4/5,Pre-war house,"1,630 €","176,000 €"
Attīstītājs pardot dzīvoklis silts un saulains divlimenu dzīvokl,Brivibas 132,2,61,3/4,Recon.,"1,787 €","109,000 €"
"Tiek pārdots mūsdienīgs, jauns un gaišs 2-ist. dzīvoklis Jaunajā",Rupniecibas 25,2,53,3/7,New,"3,906 €","207,000 €"
Pārdod 2 istabu dzīvokli Rīgas centrā – staļina laika mājā.,Sadovnikova 33,2,46,1/5,Stalin project,"1,457 €","67,000 €"
Pārdošanas cena ir zemāka par īpašumā veiktajiem ieguldījumiem.,Rupniecibas 11,3,98,4/5,Recon.,"3,622 €","355,000 €"
Samazināta cena. Pārdod modernu 2 līmeņu dzīvokli ar terasēm un,Silmachu 1,3,112,5/6,New,"2,125 €","238,000 €"
Pārdod izīrēšanai pielāgotu dzīvokli renovētā mājā. Dzīvokli,Matisa 85,2,50,1/5,Recon.,"1,718 €","85,900 €"
Pārdod plašu un ērtu dzīvokli lieliskā vietā. Zemes domājamās da,Artilerijas 6,4,89,2/4,Pre-war house,"1,753 €","156,000 €"
"Pārdodu 22m2 dzīv. 75m2 zeme, malkas apkure-liels šķūnītis, mazs",Matisa 82A,1,22,2/2,Pre-war house,800 €,"17,600 €"
"Lat: Plašs dzīvoklis vēsturiskā ēkā, kas atrodas pašā Rīgas cent",Dzirnavu 71,5,148,2/5,Recon.,"2,649 €","392,000 €"
Pārdošanā 2 istabu dzīvoklis 60 m² platībā vienā no Rīgas skaist,Antonijas 20,2,60,6/7,Recon.,"4,000 €","240,000 €"
Saulains dzīvoklis klusā vietā Rīgas centrā. Plānojums: -,Etnas 6,1,42,3/6,Spec. pr.,"1,643 €","69,000 €"
Klusais Centrs - plašs 3 - istabu dzīvoklis. Stāvoklis ir pi,Valdemara 39,3,82,1/5,Pre-war house,"1,457 €","119,500 €"
"Pārdodu Kapitāli remontētu dzīvokli Renovētā mājā, kurš ļoti vei",Avotu 66A,2,34,1/5,Recon.,"1,971 €","67,000 €"
Dizainera veidots trīsistabu dzīvoklis Skanstē. Viesistaba d,Grostonas 21,3,92,2/5,New,"3,141 €","289,000 €"
Piedāvājam iegādei 2-istabu (pēc pārplānošanas pilnvērtīgu 3-ist,Brivibas 138,3,65,5/6,Pre-war house,"1,271 €","82,625 €"
Pārdošanā unikāla investīciju iespēja pašā Rīgas centrā - plašs,Marijas 15,4,115,2/7,Pre-war house,"1,283 €","147,500 €"
Pārdošanā unikāla investīciju iespēja pašā Rīgas centrā - plašs,Marijas 15,5,114,2/7,Pre-war house,"1,294 €","147,500 €"
Pārdošanā gaišs un īpaši plašs 1 istabas studijas tipa dzīvoklis,Latgales 131,1,62,2/4,Pre-war house,"1,335 €","82,800 €"
Pārdodu mājīgu un kvalitatīvi izremontētu dzīvokli 2. stāvā. Kap,Kurbada 16A,2,56,2/5,Pre-war house,"2,321 €","130,000 €"
Iespēja iegādāties plašu un saulainu četru istabu dzīvokli (trīs,Mīlenbaha 1,4,67,3/6,Recon.,"3,284 €","220,000 €"
"Pārdod plašu 3 istabu dzīvokli projektā “Skanstes Virsotnes”, Gr",Grostonas 25,3,90,17/24,New,"2,433 €","219,000 €"
Pārdodu plašu 2istabu dzīvokli jaunajā projektā Klijānu ielā 6.,Klijanu 6,2,50,3/9,Recon.,"1,771 €","88,560 €"
"Projekts ""Forburga Nams"" ir dzīvoklis prestižā, aristokrātiskā r",Ausekla 11,6,180,6/6,Recon.,889 €,"160,000 €"
Lieliska iespēja iegādāties plašu un elegantu dzīvokli pašā Rīga,Terbatas 20,4,110,2/6,Pre-war house,"2,318 €","255,000 €"
Attīstītājs “River Properties” pārdod 3 istabu dzīvokli jaunajā,Skolas 17,3,62,2/7,New,"3,489 €","216,335 €"
"Tiek piedāvāts gaišs, saulains, mūsdienīgs un mājīgs divu istabu",Rupniecibas 21,2,74,2/7,Spec. pr.,"3,378 €","250,000 €"
"Tiek piedāvāts gaišs, saulains, mūsdienīgs un mājīgs trīs istabu",Rupniecibas 21,3,94,2/7,New,"3,138 €","295,000 €"
Piedāvājumā no attīstītāja 2-istabu dzīvoklis Nr. 55C septītajā,Pulkv. Briezha 15,3,42,7/7,Recon.,"2,800 €","117,600 €"
Pārdodam lielisku studijas dzivokli Rīgas centrā pilnībā renovēt,Merkela 7,1,24,2/5,Recon.,"3,746 €","89,900 €"
"Atīstītājs pārdod 4 istabu dzīvokli renovētā projektā ""Šefela na",Baznicas 5,4,94,2/4,Recon.,"2,709 €","254,610 €"
"Atīstītājs pārdod 4 istabu dzīvokli renovētā projektā ""Šefela na",Baznicas 5,4,97,1/4,Recon.,"2,445 €","237,160 €"
Pārdošanā izsmalcināts dizaina dzīvoklis prestižajā Forburgas kv,Eksporta 4,6,205,2/6,Recon.,"3,366 €","690,000 €"
Tiek pārdots skaists un mājīgs 4-istabu dzīvoklis vēsturiskā ēkā,Stabu 53,4,92,4/5,Pre-war house,"2,011 €","185,000 €"
"Divistabu dzīvoklis kvalitatīvā pirmskara mūra ēkā, Hertela namā",Brivibas 138,2,62,2/6,Pre-war house,"1,221 €","75,720 €"
"Attīstītājs tirgo 1-istabu dzīvokli (bez mēbelēm), kas atrodas p",Alauksta 7,1,37,1/2,Recon.,"2,568 €","95,000 €"
Attīstītājs tirgo 1-istabas dzīvokli renovētā projektā. Iespēj,Bruninieku 93c,1,30,1/2,Recon.,"2,833 €","85,000 €"
"Attīstītājs tirgo 2-istabu dzīvokli, kas atrodas pagalma mājā re",Alauksta 7a,2,36,2/2,Recon.,"3,472 €","125,000 €"
Izsmalcināts 3 – istabu mansarda dzīvoklis ar fantastisku skatu,Terbatas 97,3,118,6/6,Pre-war house,"1,694 €","199,950 €"
Piedāvājumā jaunizveidots dzīvoklis kvalitatīvā pirmskara mūra ē,Brivibas 138,3,52,5/6,Pre-war house,"1,943 €","101,010 €"
Rīgas centrā tiek 2 istabu dzīvoklis Iespēja iegādāties tikko,Brivibas 68,2,55,5/6,Recon.,"3,574 €","196,560 €"
Attīstītājs un īpašnieks – kompāniju grupa “R. Evolution” – pārd,Strelnieku 5,4,123,1/7,New,"5,276 €","649,000 €"
Piedāvājam modernu 2 istabu dzīvokli daudzdzīvokļu ēku Rīgas cen,Akas 4,2,61,2/7,New,"3,525 €","215,000 €"
"Pagalma mājā saulains, kluss dzīvoklis. Dzīvojamā istaba apvieno",Barona 124,2,43,2/3,Pre-war house,"2,442 €","105,000 €"
Mansardtipa 3 istabu dzīvoklis ar terasi. Divu līmeņu dzīvoklis.,Artilerijas 7,3,110,5/6,Pre-war house,"1,500 €","165,000 €"
Pārdod ekskluzīvs dzīvoklis jaunajā prestižajā projektā. Dzīvo,Strelnieku 7,3,86,5/7,New,"4,244 €","365,000 €"
Pārdod gaišu un plašu 3-istabu dzīvokli ar platību 70 m² vēsturi,Dzirnavu 132,3,70,5/6,Pre-war house,"1,986 €","139,000 €"
"Mājas pirmais un otrais stāvs, atsevišķas ieejas. Faktiski atsev",Latgales 108,Other,1000,1/3,Spec. pr.,165 €,"164,800 €"
Tiek pārdots komerctelpu komplekss kapitālā ķieģeļu ēkā. Īpašums,Latgales 108,Other,1000,1/2,Spec. pr.,165 €,"164,800 €"
Ekskluzīvs dizainera veidots 3-istabu dzīvoklis. Arhitekta P,Marstalu 16,3,106,3/5,Recon.,"3,198 €","339,000 €"
Pārdodam dzīvokli lieliskā vietā pašā pilsētas centrā. Dzīvoklim,Terbatas 37,4,125,3/5,Pre-war house,"1,592 €","199,000 €"
Pārdošanā tiek piedāvāts elegants un mūsdienīgs 3 istabu dzīvokl,Pulkv. Briezha 35,3,124,5/7,New,"2,839 €","352,000 €"
Lieliska iespējai iegādāties jaunu dzivokli Premiu klases ēkā “P,Marijas 4,1,22,5/5,Recon.,"3,909 €","86,000 €"
"Ekskluzīvs un kvalitatīvs remonts, augstas klases sadzīves tehni",Sermulinu 14,3,55,4/4,New,"3,273 €","180,000 €"
"Ja meklējat īpašumu ar plašām iespējām to pielāgot savām vēlmēm,",Briana 17,4,87,1/2,Pre-war house,793 €,"69,000 €"
"Dzīvoklis lieliskā vietā – netālu no pilsētas centra, vienlaikus",Zirnu 5 k-1,2,50,5/9,467-th,"1,250 €","62,500 €"
"Pārdodam mūsu ģimenes dzīvokli Rīgas centrā, Ģertrūdes ielā 103.",Gertrudes 103,4,118,3/5,Pre-war house,"2,326 €","274,500 €"
Pārdošanā nonācis saulains trīsistabu dzīvoklis ar lodžiju Centr,Zirnu 5 K1,3,62,6/9,467-th,"1,287 €","79,800 €"
"Pārdod gaišu dzīvokli bez apdares Rīgas vēsturiskajā centrā, Kli",Klijanu 22,3,57,8/8,Recon.,882 €,"50,290 €"
Ekskluzīvs dzīvoklis ar skatu pār Kronvalda parka koku galotnēm,Kalpaka boul. 7,4,107,4/5,Recon.,"5,065 €","542,000 €"
Plaša un privāta terase Rīgas Klusajā centrā - Kalpaka Rezidencē,Kalpaka boul. 7,3,155,5/5,Recon.,"3,839 €","595,000 €"
"Īpašnieks pārdod elegantu, premium klases dzīvoklis Rīgas centrā",Valdemara 37a,4,145,5/6,Pre-war house,"3,414 €","495,000 €"
"Attīstītājs piedāvā dzīvokli projektā ""Katrīnas pagalms"" Dzīv",Katrinas d. 6,3,56,2/3,Recon.,"2,188 €","122,540 €"
Pārdod ērti iekārtotu dzīvokli ar stāvvietu Rīgas centrā ar visu,Brivibas 181,2,41,1/5,Czech pr.,"1,707 €","70,000 €"
Piedāvājumā no attīstītāja kompakts dzīvoklis Nr. 15 prestižajā,Pulkv. Briezha 15,2,33,2/7,Recon.,"3,300 €","108,900 €"
Attīstītājs piedāvā iegādāties trīs istabu dzīvokli Nr. 16 proje,Skolas 17,3,61,2/7,New,"3,470 €","211,658 €"
Piedāvājumā no attīstītāja 3-istabu dzīvoklis Nr. 55B prestižajā,Pulkv. Briezha 15,3,92,7/7,Recon.,"3,135 €","288,440 €"
"Plašs, elegants, kvalitatīvi remontēts dzīvoklis ar 2 guļamistab",Chaka 49,3,104,6/6,Pre-war house,"2,404 €","250,000 €"
Ekskluzīvs divlīmeņu dzīvoklis īsta pērle pašā Vecrīgas sirdī. T,Audeju 10,4,126,6/7,Pre-war house,"2,119 €","267,000 €"
2 istabu dzīvoklis pilnībā restaurētā un siltinātā vēsturiskā ēk,Latgales 137,2,39,1/2,Recon.,"1,615 €","63,000 €"
"Starpniekus lūdzu netraucēt- ne ar klientiem, ne bez tiem. Pār",Dzirnavu 149,3,100,4/4,Stalin project,"1,550 €","155,000 €"
"Pārdod skaistu dzīvokli unikālā dzīvojamā ēkā Hoft, Rīgas klusaj",Strelnieku 5,3,85,4/6,New,"5,871 €","499,000 €"
Pārdod dzīvoklis Ģertrūdes ielas aplī vēsturiskā renovētā ēkā,Gertrudes 9,4,153,2/7,Pre-war house,"3,486 €","533,400 €"
"Piedāvājumā plašs, gaišs un funkcionāli plānots 3-istabu dzīvokl",Republikas pl. 3,3,100,6/9,New,"1,950 €","195,000 €"
Tiek pārdots praktiski jauns un pilnībā mēbelēts 4-istabu dzīvok,Melngaila 2,4,153,3/7,New,"5,418 €","829,000 €"
Piedāvājam iegādāties īpašu 3 istabu dzīvokli pašā Rīgas centrā,Terbatas 4,3,124,6/6,Recon.,"2,500 €","310,000 €"
Gaišs 2 istabu dzīvoklis 37.2 m² ar jaunu remontu Rīgas centrā.,Valdemara 95,2,37,1/6,Spec. pr.,"1,549 €","57,300 €"
Pārdod stilīgu un kvalitatīvi izbūvētu 2 istabu dzīvokli pašā Rī,Lachplesha 67,2,46,5/6,Pre-war house,"2,717 €","125,000 €"
"Pārdošanā mājīgs divistabu dzīvoklis klusā lokācijā, kur nedzird",Stabu 49 k-2,2,34,5/6,Pre-war house,"2,559 €","87,000 €"
Pārdod loft stila studijas tipa dzīvokli tikai pāris minūšu gāji,Valmieras 6,1,27,2/2,Pre-war house,"1,452 €","39,200 €"
Izsmalcināts un gaumīgi iekārtots dzīvoklis vienā no pieprasītāk,Stabu 18A,4,133,1/5,Pre-war house,"2,436 €","324,000 €"
"Pārdošanā ekskluzīvs, plašs 5-istabu dzīvoklis. Plānojums: divas",Katrinas d. 5,5,167,3/5,Spec. pr.,"1,289 €","215,340 €"
Gaumīgs un skaisti iekārtots četru istabu dzīvoklis renovētā nam,Alauksta 7,4,75,1/4,Recon.,"3,267 €","245,000 €"
"Pārdošanā pilnībā mēbelēts divu istabu dzīvoklis 41, 5 m² platīb",Pulkv. Briezha 10,2,42,6/7,Recon.,"3,528 €","148,155 €"
Pārdošanā pilnībā mēbelēts un dzīvošanai gatavs studijas tipa dz,Pulkv. Briezha 10,1,23,2/7,Recon.,"3,521 €","80,988 €"
Pārdošanā pilnībā mēbelēts un dzīvošanai gatavs studijas tipa dz,Pulkv. Briezha 10,1,23,4/7,Recon.,"3,774 €","86,802 €"
Iegādei tiek piedāvāts gaumīgi labiekārtots un bagātīgi izgaismo,Pulkv. Briezha 10,2,55,5/5,Recon.,"3,394 €","186,660 €"
Pārdošanā ekskluzīvs piecu istabu dzīvoklis Rīgas centrā. Dz,Valdemara 106,5,145,1/5,Pre-war house,"1,793 €","260,000 €"
"Iegādei piedāvājam mēbelētu, ar sadzīves tehniku aprīkotu divist",Pulkv. Briezha 10,2,42,6/7,New,"3,528 €","148,155 €"
Īpašnieks pārdod gaišu un pilnībā renovētu 30 m² dzīvokli Rīgas,Vesetas 28,1,30,6/6,Chrusch.,"2,000 €","60,000 €"
"Dzīvoklis tiek veidots, pārplānojot plašākas telpas un izveidojo",Brivibas 138,2,36,4/6,Pre-war house,"1,934 €","69,615 €"
Dzīvoklis ar privātmājas sajūtu pašā Rīgas centrā. Meklē vietu,Bruninieku 119A,1,24,2/2,Pre-war house,"1,000 €","24,000 €"
"Skanstes Virsotnes projektā, Skanstes ielā 29A, piedāvājumā gaiš",Skanstes 29a,2,67,11/24,New,"2,731 €","183,000 €"
Pārdod mājīgu un ļoti ekonomisku vienas istabas dzīvokli lielisk,Matisa 84,1,25,2/2,Pre-war house,"1,200 €","30,000 €"
Piedāvājam 3 istabu dzīvokli klusajā centrā arhitekta Rūdolfa He,Vilandes 5,3,73,3/5,Pre-war house,"2,452 €","179,000 €"
"Skanstes komforts ar privātas, norobežotas jumta terases priekšr",Grostonas 25,2,93,3/24,New,"2,312 €","215,000 €"
Elegants dzīvoklis projektā “Viesturdārzs”. Pārdošanā plašs,Rupniecibas 23,2,74,3/7,New,"3,176 €","235,000 €"
"Divas autostāvvietas iekļautas cenā Pieejams plašs 3-istabu,",Zala 3,3,80,1/4,Recon.,"2,750 €","220,000 €"
"Piedāvājumā plašs 4-istabu dzīvoklis iespaidīgā, vēsturiskā mūra",Brivibas 138,4,113,4/6,Pre-war house,"1,454 €","164,285 €"
"Pārdod 2 istabu dzīvokli Rīgas vēsturiskajā centrā, prestižā un",Alunana 6,2,39,2/4,Pre-war house,"4,872 €","190,000 €"
101 m² Rīgas Klusajā centrā. Pārdod 3 istabu dzīvokli ar lie,Zala 4,3,102,3/7,Spec. pr.,"2,186 €","223,000 €"
"Pārdodu mansarda dzīvokli, kas atrodas Rīgas centrā mūra ēkas ce",Barona 51,3,53,4/4,Pre-war house,"2,076 €","110,040 €"
Piedāvājam labiekārtotu ekskluzīvu 5 istabu dzīvokli prestižajā,Rupniecibas 21,5,161,6/7,New,"4,255 €","685,000 €"
"Piedāvājam pārdošanai gaišu, elegantu un gaumīgi iekārtotu dzīvo",Jeruzalemes 10,3,132,5/7,New,"3,023 €","399,000 €"
Saimnieks pārdod mazģimeņu (kopā 6 dzīvokļi) 3-stāvīgā mājā 3-is,Vagonu 34,3,68,1/3,Pre-war house,"1,765 €","120,000 €"
Brīvības ielā 190 jaunu dzīvi sāk 1912. gadā pēc arhitekta Nikol,Brivibas 190,3,49,3/6,Recon.,"2,230 €","109,270 €"
Dizaina meistardarbs Rīgas sirdī: Augstākās kvalitātes dzīvok,Baznicas 7,4,155,3/5,Recon.,"3,839 €","595,000 €"
Īpašnieks pārdod dzīvokli jaunajā projektā – Pausa Nams. Ēka,Gertrudes 56,2,42,3/5,Recon.,"2,499 €","104,950 €"
Pārdod divistabu dzīvokli centrā. Galvenās priekšrocības: -,Terbatas 37,2,31,1/6,Pre-war house,"1,581 €","49,000 €"
Pārdod trīsistabu dzīvokli pašā Rīgas klusā centra sirdī Dzirnav,Dzirnavu 10,3,74,1/5,Pre-war house,"2,500 €","185,000 €"
"Pārdod 3 istabu dzīvokli renovētā ķieģeļu mājā Brasas rajonā, Kl",Klijanu 20,3,71,4/5,Recon.,"2,521 €","179,000 €"
Pārdošanā pārdomāti iekārtots studio tipa dzīvoklis renovētā ēkā,Barona 24/26,1,26,6/6,Recon.,"4,115 €","107,000 €"
Pārdošanā plašs un kvalitatīvi renovēts 3 istabu dzīvoklis pašā,Visvalzha 1,3,96,4/4,Pre-war house,"1,865 €","179,000 €"
Предлагается к продаже квартира в престижном жилом комплексе Ale,Ausekla 4,5,150,6/7,New,"3,267 €","490,000 €"
Iztirgojam māju pa dzīvokļiem. Dzīvoklis Nr. 56 (visas ērtības).,Chaka 133,1,28,4/6,Pre-war house,"1,729 €","48,400 €"
Piedāvājumā no attīstītāja 2-istabu dzīvoklis Nr. 39 prestižajā,Pulkv. Briezha 15,2,55,5/7,Recon.,"2,800 €","154,000 €"
Plašs un elegants ģimenes dzīvoklis Rīgas centrā Krišjāņa Val,Valdemara 77,4,130,2/7,Pre-war house,"2,171 €","282,250 €"
Piedāvājumā no attīstītāja 2-istabu dzīvoklis Nr. 12 prestižajā,Pulkv. Briezha 15,2,44,2/7,Recon.,"3,164 €","139,200 €"
Dzīvojamais komplekss Park Alley atrodas netālu no skaistā vēstn,Rupniecibas 44,3,107,2/7,New,"2,131 €","228,000 €"
"Gaišs, kluss un ekonomisks dzīvoklis netālu no „Daugava“ stadion",Pernavas 39,1,23,4/6,Pre-war house,"1,609 €","37,000 €"
"Tiek pārdots plašs, divu istabu dzīvoklis Rīgā, Brīvības ielā 14",Brivibas 148,2,43,1/6,Pre-war house,"1,326 €","57,000 €"
Piedāvājumā plašs un gaišs īpašums vienā no Rīgas prestižākajiem,Eksporta 12,Other,165,1/5,Pre-war house,"1,152 €","190,000 €"
Studio apartments for sale in central Riga. Cozy studio apartm,Visvalzha 7,4,117,5/6,Pre-war house,"1,368 €","160,000 €"
Pārdošanā ir pieejams gaumīgs un mājīgs 2 istabu dzīvoklis Rīgas,Stabu 92,2,63,4/5,Recon.,"1,873 €","118,000 €"
Brīnišķīgs dzīvoklis pirmskara ķieģeļu mājā pilsētas centrā. D,Ganibu d. 3,3,107,2/3,Pre-war house,"1,542 €","165,000 €"
Prestižajā vēstniecību rajonā - Klusajā Rīgas centrā pārdodam 2-,Pulkv. Briezha 7,2,53,2/6,Recon.,"2,717 €","144,000 €"
Renovētā pirmskara ēkā Rīgas centrā tiek pārdotas telpas puspagr,Stabu 60,Other,115,1/5,Recon.,565 €,"65,000 €"
"Saulains kluss dzīvoklis pašā Rīgas centrā. Dzīvojamā istaba,",Birznieka-Upisha 2..,2,55,2/3,Pre-war house,"1,609 €","88,500 €"
Gaišs un funkcionāls dzīvoklis vienā no prestižākajām un mierīgā,Noliktavas 3,3,79,3/5,Recon.,"2,500 €","197,500 €"
Pārdod kompaktu puspagraba studijtipa dzīvokli skaistā pirms kar,Bruninieku 47,Other,37,1/2,Pre-war house,968 €,"35,800 €"
Pārdod stilīgu 3 istabu dzīvokli Rīgas centrā (Aleksandra Čaka i,Chaka 31,3,60,3/5,Recon.,"3,000 €","180,000 €"
Projekta attīstītājs pārdod dzīvokli jaunajā projektā – Pausa Na,Gertrudes 56,2,36,2/5,Recon.,"2,443 €","87,950 €"
Īpašnieks pārdod plašas biroja telpas atjaunotā vēsturiskā ēkā R,Antonijas 24,5,112,3/6,Pre-war house,"2,054 €","230,000 €"
Pārdod renovētu sešistabu jūgendstila dzīvokli Rīgas centrā.,Chaka 28,6,144,2/5,Pre-war house,"3,194 €","460,000 €"
Apartaments pilsētas centrālajā daļā ar stāvvietu automašīnai.,Ganibu d. 13,2,68,1/7,New,822 €,"55,900 €"
Īpašnieks pārdod plašu un gaišu 3 istabu dzīvokli prestižajā Rīg,Antonijas 24,3,92,5/6,Pre-war house,"2,283 €","210,000 €"
"Уютная студия в одном из самых престижных проектов Риги ""Centra",Republikas pl. 3,1,40,3/7,New,"2,900 €","116,000 €"
Ekskluzīvs 3-istabu dzīvoklis Rīgas klusajā centrā. Pārdod īpa,M. Piena 6,3,99,1/6,New,"1,869 €","185,000 €"
Piedāvājumā lielisks vienistabas dzīvoklis vienā no Rīgas centrā,Matisa 95,1,20,2/2,Pre-war house,"1,200 €","24,000 €"
Renovēts mēbelēts studio pagalma majā Pārdodu modernu dzīvokl,Raina boul. 31,1,37,6/6,Pre-war house,"2,635 €","97,500 €"
Ekskluzīva iespēja iegādāties īpašumu pašā Rīgas sirdī – prestiž,Dzirnavu 85,2,58,4/7,New,"4,053 €","235,100 €"
Pārdošanā nonācis 2 istabu dzīvoklis “Skanstes Virsotnēs” – mūsd,Skanstes 29,2,71,17/24,New,"2,789 €","198,000 €"
"Dzīvoklis jaunajā projektā “Tomsona terases Ii"" Piedāvājumā p",Tomsona 39 k-1,3,203,7/9,New,"1,798 €","365,000 €"
Plašs un gaišs 4 istabu dzīvoklis Rīgas centrā Brīvības ielā 110,Brivibas 110,4,122,2/6,Pre-war house,"1,697 €","207,000 €"
"Pārdodu 3-istabu dzīvokli Antonijas un Dzirnavu ielas stūrī, Rīg",Dzirnavu 31,3,60,1/6,Pre-war house,"1,867 €","112,000 €"
Pārdod 3-istabu dzīvokli vēsturiskā ēkā Aleksandra Čaka Memoriāl,Lachplesha 48,3,81,4/6,Recon.,"2,277 €","184,400 €"
Īpašnieks pārdod renovētu divistabu dzīvokli pirmskara ēkā Marij,Marijas 8,2,53,3/5,Recon.,"2,536 €","134,420 €"
"Kluss, saulains dzīvoklis ar panorāmas skatu no logiem. Iztirg",Chaka 133,1,32,6/6,Pre-war house,"1,376 €","44,039 €"
"Pārdošanā 1-istabu dzīvoklis Grīziņkalnā, A. Čaka ielā 133. Nepi",Chaka 133,1,32,6/6,Pre-war house,"1,376 €","44,039 €"
"Pārdodu mūsdienīgu divu līmeņu dzīvokli, kas ir gaišs, saulains",Valdemara 77,3,181,5/6,Pre-war house,"1,470 €","266,000 €"
"Pērle pilsētas centrā. Ir dzīvokļi, kuros vienkārši dzīvo, u",Stabu 49,2,34,5/5,Pre-war house,"2,500 €","85,000 €"
Piedāvājam iegādāties dzīvokli pilnībā renovētā ēkā Dzirnavu iel,Dzirnavu 53,3,119,5/6,Recon.,"3,997 €","475,650 €"
Piedāvājumā skaists un plašs dzīvoklis renovētā pirmskara namā p,Dzirnavu 53,4,132,3/6,Recon.,"3,330 €","439,560 €"
"Pašā centrā, Tērbatas un Ģertrūdes ielu krustojumā, vēsturiskā 1",Terbatas 41/43,4,120,4/6,Pre-war house,"1,742 €","209,000 €"
Tiek pārdots mājīgs un funkcionāls 2 istabu dzīvoklis Stabu ielā,Stabu 49,2,34,5/5,Pre-war house,"2,500 €","85,000 €"
Unikāls dzīvoklis ar eksluzīvu interjeru. Dzīvoklis tiek pārdo,Lachplesha 62,3,136,3/5,Pre-war house,"1,618 €","220,000 €"
Divistabu dzīvoklis divstāvu koka mājā. Dzīvoklī ir divas istaba,Laboratorijas 1b,2,39,2/2,Pre-war house,974 €,"38,000 €"
"Pārdod plašu trīs istabu dzīvoklis Rīgas centrā, ar balkonu paga",Merkela 8,3,91,5/6,Pre-war house,988 €,"89,900 €"
Pārdodam studio tipa dzīvokli renovētā ēkā - Alūksnes ielā 1. Dz,Aluksnes 1,1,24,2/5,Recon.,"2,454 €","58,900 €"
"Izsmalcināta rezidence Rīgas Klusajā centrā, saulainajā Vīlandes",Vilandes 8,4,165,2/5,Recon.,"3,321 €","548,000 €"
"В квартире высокие потолки и просторные комнаты, окна выходят на",Brivibas 163,4,108,2/5,Pre-war house,"1,713 €","185,000 €"
"Ekskluzīvs 3 līmeņu dzīvoklis 249 m2 platībā Andrejsalā, pie paš",Eksporta 8,5,249,2/3,Recon.,"1,968 €","490,000 €"
"Ekskluzīvs 3 līmeņu dzīvoklis 249 m2 platībā Andrejsalā, pie paš",Eksporta 8,5,249,2/3,New,"1,968 €","490,000 €"
Plašs četru istabu dzīvoklis ar privātu garāžu - privātmājas saj,Brivibas 118,4,129,1/2,Pre-war house,"1,550 €","200,000 €"
Dzīvoklis ar skatu uz Jauno Rīgas teātri. Piedāvājumā elegan,Lachplesha 24,3,75,6/6,Recon.,"4,067 €","305,000 €"
"Silts, ar saulainu un plašu skatu, 2-istabu dzīvoklis 10 min no",Artilerijas 43,2,43,2/2,Pre-war house,881 €,"37,890 €"
Pārdod gaišu un modernu 3 istabu dzīvokli jaunā projektā Rūpniec,Rupniecibas 25,3,80,4/6,New,"3,488 €","279,000 €"
Pārdod trīsistabu dzīvkoli ar potenciālu. Dzīvoklim nepiecie,Birznieka-Upisha 2..,3,60,1/5,Pre-war house,"1,133 €","68,000 €"
"Starpniekus lūdzu netraucēt- ne ar klientiem, ne bez tiem. Pār",Dzirnavu 113A,3,76,3/6,Pre-war house,"2,026 €","154,000 €"
Pārdod elegantu 3 istabu dzīvokli ar terasi projektā “Duntes ozo,Duntes 28,3,131,9/16,New,"1,511 €","198,000 €"
Tiek pārdots trīsistabu dzīvoklis pašā Rīgas klusā centra sirdī,Dzirnavu 15,3,72,2/3,Pre-war house,"3,264 €","235,000 €"
Attīstītājs un īpašnieks – kompāniju grupa “R. Evolution” – pārd,Strelnieku 5,3,89,2/7,New,"4,427 €","394,000 €"
"Pārdod gaišu pagraba stāva telpu 37 m² platībā, Dagdas ielā 5, R",Dagdas 5,1,37,1/5,Pre-war house,676 €,"25,000 €"
"Renovētas mazstāvu ēkas 1. stāvā, pārdošanā plašs 3 istabu dzīvo",Tallinas 96,3,76,1/2,Recon.,"1,578 €","119,900 €"
Perspektīvs investīciju objekts Rīgas centrā ar potenciālu izvei,Bruninieku 89,1,235,5/5,Recon.,277 €,"65,000 €"
