description,url,Street,R.,m²,Floor,Series,"Price, m2",Price
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bocli.html,Katrinas 5,4,95,3/4,Recon.,"2,875 €","273,105  €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcojbk.html,Katrinas 5,3,66,4/4,Recon.,"2,814 €","185,736  €"
"Продается квартира, которая используется в настоящий момент, как",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ccmbf.html,Brivibas 114,3,48,1/6,Pre-war house,"1,083 €","52,000  €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/feigo.html,Katrinas 5,2,37,2/4,Recon.,"2,696 €","99,736  €"
"Divu istabu dzīvoklis jaunā projektā Rīgas centrā. 
Unikāla ies",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aenkm.html,Blaumana 20,2,57,4/7,New,"4,265 €","243,100  €"
"Katrīnas iela 5 ir vēsturiska daudzdzīvokļu ēka, kuras pirmsākum",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gpiik.html,Katrinas 5,3,53,2/4,Recon.,"2,846 €","150,858  €"
Iegādei pieejams elegants 2 istabu dzīvoklis Rīgas prestižajā Kl,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ghffc.html,Pulkv. Briezha 10,2,46,5/5,Recon.,"3,788 €","174,267  €"
"Pārdošanā ekskluzīvs, dizaineru veidots un pilnībā aprīkots dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjdbj.html,Brivibas 92,2,61,3/5,Recon.,"2,457 €","149,900  €"
"Tiek pārdots 3 istabu dzīvoklis projektā ""Vāgnera Rezidence"" Vec",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcleld.html,Teatra 7,3,86,2/4,New,"3,488 €","300,000  €"
"Dzīvoklis ar terasi renovētā ēkā. 
Plānojums:
virtuve-viesista",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajbcx.html,Vagnera 20,4,101,2/3,Recon.,"3,088 €","311,860  €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",https://www.ss.com/msg/en/real-estate/flats/riga/centre/acike.html,Vashingtona pl. 2,1,22,4/6,Recon.,"4,219 €","92,820  €"
Pārdošanā plašs un funkcionāls 5 istabu dzīvoklis klusā pilsētas,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cxcdd.html,Hospitalu 36A,5,146,6/6,Pre-war house,"1,664 €","243,000  €"
Pilnībā mēbelēts 2 istabu studio dzīvoklis ar privātu terasi pre,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcoepi.html,Chaka 30A,2,42,1/7,Recon.,"3,333 €","140,000  €"
Pārdod trīslīmeņu dzīvokli stratēģiski izdevīgā lokācijā E. Birz,https://www.ss.com/msg/en/real-estate/flats/riga/centre/clxkk.html,Birznieka-Upisha 6,3,71,2/3,Pre-war house,"1,477 €","104,900  €"
Pārdodu 2 istabu dzīvokli jaunajā projektā pēc kvalitatīva remon,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cigee.html,Katrinas d. 14,2,52,2/3,New,"2,620 €","136,250  €"
"Saulains 3 istabu dzīvoklis pirmskara ēkā Rīgas Centrā. 

Dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gcefc.html,Valdemara 123,3,67,5/6,Pre-war house,"1,194 €","80,000  €"
