description,url,District,R.,m²,Floor,Series,Price
"River Breeze Residences 6.stāva penthouse dzīvoklis, kas pieejam",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bjolej.html,Agenskalns Kugu 28,5,219,6/7,New,"1,101,500  €"
Pārdodam plašu un mājīgu 3 istabu dzīvokli klusā Dzirnavu ielas,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjegd.html,Centre Dzirnavu 3,3,94,3/5,Recon.,"199,000 €"
Pārdod mājīgu 1 istabas dzīvokli ar kopējo platību 36 m² piepras,https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/bpbxo.html,Kengarags Lokomotives 52,1,36,2/12,Czech pr.,"38,000 €"
"Pārdod gaišu un koptu 3 istabu dzīvokli Imantā. 

Dzīvoklis ir",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/dnoci.html,Imanta Kleistu 11,3,62,9/9,602-th,"69,000  €"
"Iegādei pieejams 4-istabu dzīvoklis 84, 1 m² platībā, kas atroda",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/belbxg.html,Agenskalns Ranka d. 30,4,84,19/30,New,"197,018  €"
"Zeme īpašumā, labiekārtota apzaļumota teritorija, lodžija, logi",https://www.ss.com/msg/en/real-estate/flats/riga/darzciems/cfgmoj.html,Darzciems Laudonas 3,2,53,1/5,103-th,"57,000  €"
"Iegādei pieejams 1-istabas dzīvoklis 39.2 m² platībā, kas atroda",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bikjnl.html,Agenskalns Ranka d. 30,1,39,12/30,New,"155,636  €"
"Pārdodu gaišu, labiekārtotu 1-istabas dzīvokli Purvciemā, Ilūkst",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/aghbn.html,Purvciems Ilukstes 54-3,1,42,2/5,Sm.fam.,"48,900  €"
"Attīstītājs pārdod 3 istabu dzīvokli projektā ""Deglava Gleznotāj",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/bknmcf.html,Plyavnieki Dravnieku 3 K-1,3,62,1/10,New,"136,000  €"
No attīstītāja- 3 istabu dzīvoklis ar diviem sanmezgliem projekt,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/fefki.html,Plyavnieki Dravnieku 3 K-2,3,64,1/10,New,"142,646  €"
"Attīstītājs piedāvā 4 istabu dzīvoklis projektā ""Deglava Gleznot",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/deoxi.html,Plyavnieki Dravnieku 3 K-3,4,86,6/10,New,"190,357  €"
"Svaigi remontēts, moderns 2-istabu dzīvoklis ar balkonu pašā Ķen",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/behkk.html,Kengarags Prushu 3 K2,2,38,5/5,Lit pr.,"61,000  €"
"Plašs un gaišs 4 istabu dzīvoklis lieliskā lokācijā. 

Pārdoša",https://www.ss.com/msg/en/real-estate/flats/riga/dreilini/cfmcdl.html,Dreilini Valtera 5,4,78,9/9,New,"105,000  €"
"Attīstītājs piedāvā iegādāties divistabu dzīvokli ""Deglava Glezn",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/dpebj.html,Plyavnieki Dravnieku 3,2,49,7/10,New,"123,194  €"
"Jauni stāvvadi. Ar skaistiem skatiem pa logu- gaišs, izremontēts",https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/exmik.html,Ilguciems Spilves 17,2,50,5/5,Lit pr.,"64,500  €"
Tikko pēc remonta pārdošanā gaišs un mājīgs 2 istabu dzīvoklis P,https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/ahkei.html,Purvciems Vaidavas 2,2,41,2/5,Chrusch.,"59,000  €"
Pārdodās 3 istabu dzīvoklis ar kvalitatīvu kapitālo remontu. Dzī,https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/ffbkl.html,Ilguciems Riekstu 24,3,50,1/3,Chrusch.,"87,000  €"
"Iegādei tiek piedāvāts jauns, energoefektīvs dzīvoklis jaunajā p",https://www.ss.com/msg/en/real-estate/flats/riga/tornjakalns/fhdbm.html,Tornjakalns Bieshu 9,3,67,2/5,New,"180,000  €"
Небольшие коммунальные платежи + индивидуальные счетчики отоплен,https://www.ss.com/msg/en/real-estate/flats/riga/imanta/hfigi.html,Imanta Akaciju 6,1,46,9/9,New,"127,000  €"
Piedāvājam pārdošanai lielisku un saulainu 2-istabu dzīvokli jau,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hdfol.html,Centre Gertrudes 65B,2,66,2/6,New,"179,420  €"
"Pārdod 2-istabu dzīvokli Zolitūdē, Paula Lejiņa ielā 14

Pārdo",https://www.ss.com/msg/en/real-estate/flats/riga/zolitude/ejgxg.html,Zolitude Lejina 14,2,61,9/9,119-th,"64,000  €"
"Gaišs, kluss trīsistabu dzīvoklis pagalma mājā. Viesistaba apvie",https://www.ss.com/msg/en/real-estate/flats/riga/centre/behldk.html,Centre Lachplesha 45,3,55,4/5,Pre-war house,"111,000  €"
"Pārdodam dzīvokli Slokas ielā 103. Papildus dzīvoklim ir šķūnis,",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/aimgx.html,Imanta Slokas 103,1,21,2/2,Spec. pr.,"28,000  €"
"Pārdodam gaišu un ļoti klusu 2-istabu dzīvokli Rīgas centrā, Brī",https://www.ss.com/msg/en/real-estate/flats/riga/centre/clbmf.html,Centre Brivibas 92/94,2,52,2/5,Spec. pr.,"89,000  €"
Pieejams vēl tikai 2 mājas jaunā A klases privātmāju ciemā Kalna,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/blxecd.html,Plyavnieki Ulbrokas 3,4,104,1/1,New,"199,680  €"
"Piedāvājam pārdošanai 3-istabu dzīvokli jaunajā projektā ""Ģertrū",https://www.ss.com/msg/en/real-estate/flats/riga/centre/benokc.html,Centre Gertrudes 65,3,52,2/6,New,"150,220  €"
"Divstāvu dzīvoklis jaunā, apsargātā ciematā Juglasciemā, Pečorīt",https://www.ss.com/msg/en/real-estate/flats/riga/mezhciems/dmjnf.html,Mezhciems Juglas 1,4,82,2/2,New,"180,000  €"
"Divstāvu dzīvoklis jaunā, apsargātā ciematā Juglasciemā, Pečorīt",https://www.ss.com/msg/en/real-estate/flats/riga/yugla/aflbj.html,Yugla Juglas 1,4,82,2/2,New,"180,000  €"
"Tiek pārdods kompakts trīs istabas dzīvoklis (60 kv. m)
Atrašan",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcdxj.html,Centre Strelnieku 19,3,60,2/3,Recon.,"164,000  €"
"Piedāvājumā pārdošanai 2 istabu dzīvoklis, Lielirbes ielā, Rīgas",https://www.ss.com/msg/en/real-estate/flats/riga/shampeteris-pleskodale/bbcfin.html,Shampeteris-Pleskodale Lielirbes 6,2,47,4/7,Spec. pr.,"59,000  €"
Pārdošanā tiek piedāvāts saulains un atjaunots 92 m² mājoklis St,https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/belefm.html,Sarkandaugava Patversmes 30,4,92,2/5,Stalin project,"199,000  €"
Pārdošanā pieejams gaišs un plašs trīsistabu dzīvoklis ar pārdom,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/bkldnp.html,Plyavnieki Salnas 21,3,88,1/9,New,"159,900  €"
"Pārdošanā 2 istabu dzīvoklis ar segtu terasi, skatu uz zaļu paga",https://www.ss.com/msg/en/real-estate/flats/riga/ziepniekkalns/ffpdh.html,Ziepniekkalns Batas 3a,2,91,1/4,New,"135,000  €"
Dzīvoklis atrodas ēkas augstajā pirmajā stāvā. Hruščova laika pr,https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/dnfkn.html,Agenskalns Kalnciema 1/1,2,41,1/5,Chrusch.,"47,000  €"
